,pn,a1,a3,max_t,min_t,max_p
0,0.01,0.9386595482686433,0.323179548612319,20.441842908483647,19.6385953518142,3.125822513556059
1,0.01,0.9343462589295962,0.323692996322284,19.193450790970548,17.86737039547725,3.822396950907717
2,0.01,0.9261362155093787,0.3297041539478874,20.32419177339038,19.56893575981185,3.2399554756747118
3,1.0,0.955437852511212,0.2774367247982577,21.504248710746882,24.20459406223215,1.2201949111379116
4,0.011714654596336731,0.9328662600323347,0.27906418696031376,21.51765246944686,20.996725802371333,2.820844793560468
5,0.01,0.9406753492243015,0.38273063905591864,20.74364614999161,19.919417396619284,2.5926349693831576
6,0.2669560606745675,0.9465788873320202,0.2539076817676333,19.352794612654154,20.149985043869314,4.579829278247654
7,0.6640577149463839,0.9469480631340217,0.33053448500188026,22.080334147756933,24.110537022523324,1.6970125143677532
8,0.01,0.9495985757964971,0.2774270251220114,19.516543224979483,18.048208939727807,4.523932088768759
9,0.01,0.9290554308979275,0.32392979465016164,19.176294665942567,17.631825308672852,4.355206973283326
0,0.02,0.9525,0.249945,20.724,18.665,5.103
1,0.02,0.9513,0.244179,19.505,17.669,4.5
2,0.02,0.944,0.250173,20.648,18.715,5.05
3,0.02,0.9525,0.247923,22.651,20.493,4.791
4,0.02,0.9547,0.238463,21.734,19.848,5.473
5,0.02,0.9507,0.286945,20.976,18.931,4.707
6,0.02,0.952,0.210676,19.45,17.412,5.321
7,0.02,0.9483,0.285172,22.92,20.904,4.938
8,0.02,0.9575,0.233847,19.833,18.029,5.369
9,0.02,0.9446,0.25681,19.512,17.625,4.996
0,0.01,0.013840451731356729,0.07323454861231901,0.2821570915163534,0.9735953518142004,1.9771774864439409
1,0.01,0.016953741070403816,0.07951399632228398,0.31154920902945094,0.198370395477248,0.6776030490922831
2,0.01,0.017863784490621204,0.0795311539478874,0.3238082266096214,0.8539357598118507,1.810044524325288
3,0.98,0.0029378525112120357,0.0295137247982577,1.1467512892531175,3.7115940622321517,3.570805088862089
4,0.008285345403663269,0.021833739967665244,0.040601186960313757,0.21634753055314349,1.1487258023713345,2.6521552064395317
5,0.01,0.010024650775698474,0.09578563905591864,0.2323538500083906,0.9884173966192833,2.1143650306168422
6,0.24695606067456752,0.005421112667979733,0.043231681767633284,0.09720538734584494,2.7379850438693154,0.7411707217523453
7,0.6440577149463839,0.0013519368659783426,0.04536248500188028,0.8396658522430691,3.2065370225233245,3.2409874856322465
8,0.01,0.007901424203502927,0.043580025122011395,0.31645677502051583,0.01920893972780746,0.8450679112312409
9,0.01,0.01554456910207247,0.06711979465016166,0.3357053340574332,0.006825308672851804,0.6407930267166746
