DAP,RTP
25.57,7.2
25.57,7.13
25.57,50.89
25.57,50.89
25.57,34.78
25.57,34.78
25.57,46.02
25.57,28.27
25.57,26.5
25.57,20.03
25.57,23.09
25.57,28.95
22.2,26.02
22.2,11.94
22.2,11.98
22.2,29.45
22.2,22.24
22.2,22.99
22.2,22.97
22.2,15.06
22.2,15.06
22.2,18.07
22.2,18.05
22.2,21.1
18.5,22.2
18.5,20.98
18.5,23.98
18.5,22.58
18.5,17.83
18.5,17.88
18.5,17.88
18.5,17.21
18.5,22.6
18.5,23.01
18.5,23.01
18.5,25.87
18.32,26.19
18.32,28.11
18.32,22.19
18.32,23.98
18.32,3.51
18.32,18.67
18.32,2.37
18.32,12.02
18.32,2.32
18.32,23.63
18.32,7.01
18.32,3.49
18.56,3.49
18.56,3.48
18.56,6.98
18.56,7.07
18.56,20.71
18.56,7.06
18.56,20.7
18.56,3.49
18.56,3.48
18.56,11.61
18.56,11.68
18.56,14.7
18.7,17.94
18.7,17.9
18.7,17.79
18.7,20.79
18.7,20.79
18.7,20.84
18.7,21.77
18.7,17.94
18.7,20.89
18.7,21.65
18.7,28.3
18.7,20.68
21.14,17.72
21.14,14.67
21.14,11.77
21.14,11.77
21.14,11.78
21.14,11.84
21.14,14.85
21.14,14.87
21.14,14.84
21.14,16.02
21.14,18.38
21.14,0.28
21.2,-20.3
21.2,3.57
21.2,20.8
21.2,20.8
21.2,20.6
21.2,20.8
21.2,20.6
21.2,20.6
21.2,11.9
21.2,11.89
21.2,11.92
21.2,2.27
23.19,2.24
23.19,2.26
23.19,2.24
23.19,2.24
23.19,2.26
23.19,2.27
23.19,4.91
23.19,4.52
23.19,1.05
23.19,1.05
23.19,2.23
23.19,1.36
24.99,1.35
24.99,1.34
24.99,1.35
24.99,1.35
24.99,1.35
24.99,1.36
24.99,1.37
24.99,1.37
24.99,1.36
24.99,0.29
24.99,1.06
24.99,5.2
26.48,18.64
26.48,18.11
26.48,4.69
26.48,4.71
26.48,4.69
26.48,7.04
26.48,6.97
26.48,10.52
26.48,10.49
26.48,10.49
26.48,12.85
26.48,10.51
26.49,20.19
26.49,26.33
26.49,18.72
26.49,18.96
26.49,19.43
26.49,25.58
26.49,26.33
26.49,19.74
26.49,22.23
26.49,12.97
26.49,12.97
26.49,7.93
25.83,13.94
25.83,13.94
25.83,13.98
25.83,14.41
25.83,16.36
25.83,14.41
25.83,14.37
25.83,16.22
25.83,16.21
25.83,16.67
25.83,17.97
25.83,1.06
25.54,0.3
25.54,3.06
25.54,4.3
25.54,5.7
25.54,5.7
25.54,5.17
25.54,5.18
25.54,5.68
25.54,4.3
25.54,3.06
25.54,5.2
25.54,1.04
27.38,0.29
27.38,1.33
27.38,3.03
27.38,5.19
27.38,3.07
27.38,4.31
27.38,4.3
27.38,4.3
27.38,4.28
27.38,4.29
27.38,4.31
27.38,4.27
27.83,4.28
27.83,4.3
27.83,5.68
27.83,7.77
27.83,7.8
27.83,13.82
27.83,16.22
27.83,16.58
27.83,13.76
27.83,13.75
27.83,16.55
27.83,1.05
31.34,4.24
31.34,4.69
31.34,7.75
31.34,13.78
31.34,16.2
31.34,18.61
31.34,18.63
31.34,23.43
31.34,20.44
31.34,27.89
31.34,26.37
31.34,23.67
36.29,20.49
36.29,20.51
